106,"Dominican Republic",2021-05-17,"a arcu"
118,Sweden,2021-11-30,"Vestibulum ut"
108,"Russian Federation",2021-11-09,"mus Donec"
111,Turkmenistan,2021-01-07,"lobortis augue"
111,Sweden,2021-08-31,"id ante"
106,Comoros,2021-02-27,"mattis velit"
118,Jordan,2021-10-23,"tincidunt nibh"
114,Barbados,2021-10-22,"vitae sodales"
100,"Turks and Caicos Islands",2021-05-12,"Cras dictum"
114,Senegal,2021-11-18,"Nullam vitae"
116,Syria,2021-01-23,"Sed malesuada"
119,Indonesia,2021-05-04,"ultricies ligula"
111,Swaziland,2021-04-16,"auctor vitae"
118,Tunisia,2021-03-09,"Praesent interdum"
105,"Trinidad and Tobago",2021-08-12,"pede malesuada"
109,Belize,2021-05-18,"scelerisque lorem"
101,Swaziland,2021-01-05,"semper cursus"
119,"Christmas Island",2021-07-09,"sem Nulla"
110,Reunion,2021-01-14,"egestas Fusce"
101,Lebanon,2021-01-31,"montes nascetur"
100,Turkey,2021-05-19,"at pede"
113,Armenia,2021-06-18,"vitae sodales"
109,Brazil,2021-01-09,"molestie sodales"
106,"Solomon Islands",2021-09-29,"arcu Sed"
118,"Saint Lucia",2021-07-05,"Vestibulum ante"
119,Vanuatu,2021-05-26,"orci lobortis"
109,Suriname,2021-05-29,"purus Duis"
118,Bolivia,2021-01-23,"velit Aliquam"
115,Kuwait,2021-10-09,"dis parturient"
110,Thailand,2021-10-27,"morbi tristique"
104,Haiti,2021-04-22,"suscipit nonummy"
106,Brazil,2021-04-14,"adipiscing lobortis"
104,"Cayman Islands",2021-11-22,"vel est"
109,"New Caledonia",2021-06-30,"dui lectus"
108,"Hong Kong",2021-03-21,"vulputate dui"
115,Azerbaijan,2021-11-24,"nascetur ridiculus"
101,Comoros,2021-05-27,"feugiat Sed"
108,"Korea, North",2021-12-17,"velit dui"
115,Jamaica,2021-01-26,"eu odio"
101,Bangladesh,2021-11-30,"sapien gravida"
102,Afghanistan,2021-10-20,"dolor sit"
105,Denmark,2021-08-09,"massa rutrum"
110,Belarus,2021-06-25,"Cum sociis"
106,"Svalbard and Jan Mayen Islands",2021-09-07,"neque venenatis"
113,Burundi,2021-06-14,"Aliquam gravida"
110,Madagascar,2021-12-23,"risus odio"
111,Nepal,2021-12-06,"facilisis non"
113,Liechtenstein,2021-07-30,"urna nec"
102,Martinique,2021-09-18,"ad litora"
115,Lithuania,2021-07-01,"magna Praesent"
100,Tajikistan,2021-05-02,"risus In"
107,"United States Minor Outlying Islands",2021-01-20,"Fusce dolor"
113,"Svalbard and Jan Mayen Islands",2021-03-02,"metus urna"
107,Mexico,2021-06-09,"sit amet"
114,Qatar,2021-07-12,"tellus Phasellus"
104,"South Georgia and The South Sandwich Islands",2021-01-11,"Sed pharetra"
112,"Saint Vincent and The Grenadines",2021-02-10,"sagittis lobortis"
116,"Russian Federation",2021-12-15,"ac sem"
102,"Solomon Islands",2021-05-18,"mauris rhoncus"
109,"Cocos (Keeling) Islands",2021-04-18,"id blandit"
105,Slovakia,2021-01-29,"auctor nunc"
104,Kazakhstan,2021-09-13,"diam eu"
109,"Falkland Islands",2021-06-15,"orci consectetuer"
108,"Saint Vincent and The Grenadines",2021-02-11,"mauris rhoncus"
103,Iraq,2021-04-05,"lorem fringilla"
100,Guadeloupe,2021-01-15,"ac ipsum"
114,Niger,2021-03-24,"Sed congue"
116,Andorra,2021-09-19,"Duis a"
115,Cuba,2021-08-03,"quis diam"
104,"Svalbard and Jan Mayen Islands",2021-05-17,"sit amet"
110,"Saint Helena, Ascension and Tristan da Cunha",2021-03-31,"pretium et"
118,Zimbabwe,2021-09-30,"Ut tincidunt"
113,Slovakia,2021-03-10,"magna Ut"
117,Djibouti,2021-07-01,"purus mauris"
110,"Isle of Man",2021-04-28,"interdum Nunc"
114,"Faroe Islands",2021-10-04,"adipiscing fringilla"
103,Latvia,2021-10-22,"enim nisl"
109,"Equatorial Guinea",2021-11-30,"senectus et"
118,"Saint Pierre and Miquelon",2021-10-16,"Nullam ut"
119,Gambia,2021-08-16,"Integer in"
104,"United Arab Emirates",2021-10-10,"In ornare"
115,"Saint Lucia",2021-01-28,"malesuada vel"
114,Turkmenistan,2021-06-21,"at velit"
101,Portugal,2021-10-07,"a neque"
103,"Cocos (Keeling) Islands",2021-09-23,"eu dui"
118,Liberia,2021-03-27,"convallis erat"
108,"Faroe Islands",2021-04-01,"condimentum eget"
101,Fiji,2021-11-10,"fringilla est"
103,"Congo, the Democratic Republic of the",2021-02-13,"Mauris molestie"
102,"Burkina Faso",2021-11-21,"sem elit"
115,"Marshall Islands",2021-10-15,"tempor diam"
105,Lesotho,2021-09-01,"ipsum sodales"
110,Norway,2021-04-03,"porttitor vulputate"
118,"South Africa",2021-10-08,"consectetuer ipsum"
117,Algeria,2021-04-16,"dictum Proin"
107,Paraguay,2021-06-27,"lectus Nullam"
111,Uruguay,2021-09-30,"per conubia"
104,"Palestine, State of",2021-07-02,"Suspendisse non"
113,Guatemala,2021-04-21,"diam vel"
107,Belize,2021-07-09,"molestie tortor"
